var,var_lbl,num_country,pvalue,pvalue_mv,mean_r2,beta,beta_mv,pct_diff,or,or_mv
hv109_09,educational attainment,28,6.078051643955404e-7,5.592951627500898e-6,0.0016289119920579339,-5.607933452574353,-6.107983988761753,8.91684147852805,0.003668642954090041,0.002225031983719727
v604,preferred waiting time for birth of a/another child (grouped),24,4.157055155411763e-9,5.164819095288429e-9,0.001561381352080333,-6.411756302291147,-6.9273115013217765,8.040779697856003,0.0016421378774033597,9.806337601144463e-4
v604,preferred waiting time for birth of a/another child (grouped),24,7.013807681782576e-7,2.6010638467466033e-8,0.0014940068030873462,-5.626459506984845,-6.487502873415254,15.303466866890018,0.003601303171338739,0.0015223457556729305
hv113_08,father alive,21,3.8039303177406896e-8,7.192590822589793e-8,0.0014786934077549658,-6.69139586350371,-7.697320292374868,15.033102948783561,0.0012415485305780855,4.540422546330555e-4
mv304_06,knows contraceptive method,20,2.5090468478986037e-12,0.21124576632966632,0.0014694606335215038,-0.3698123895207167,-0.057586620315715494,-84.42815277488438,0.6908639317930703,0.9440401137920114
hv014,number of children 5 and under (de jure),29,4.663824896263777e-9,1.0161728292096238e-5,0.0014537835370570717,-0.12600053391537808,-0.08132526514488678,-35.45641227242354,0.8816143760758175,0.9218937827575121
mv304_11,knows contraceptive method,20,1.5808763586240544e-7,0.07320551488563111,0.0014305100136680884,-0.36763876581092875,-0.07012679991045402,-80.92508015149872,0.6923672432402718,0.9322755999483747
v304_11,knows method,16,2.3629188701118036e-10,0.08859646747010426,0.0014266626437388769,-0.3574578263016624,-0.1026712568576864,-71.27737895126094,0.6994521968066575,0.9024235902902442
mv395,discussed family planning with health worker in last few months,22,5.929919976684547e-11,1.4091664588930693e-4,0.00139400648203773,-0.3973733861073827,-0.21288223414285315,-46.42765681209317,0.6720830323095913,0.8082513160209929
hv106_01,highest educational level attained,29,2.553941482803165e-12,1.139687917115727e-6,0.0013179786867469206,0.3237264184072318,0.14897435458144126,-53.98140339784104,1.3822690920056668,1.1606432236461444
hv115_05,current marital status,25,6.636304730268967e-9,1.509422791169703e-7,0.0012935982041239005,-7.033451246471255,-8.013297210233512,13.931225644790729,8.818829271094165e-4,3.3103143734189e-4
v825,would buy vegetables from vendor with hiv,28,8.166122930223861e-13,2.922357107036164e-8,0.0012817866784673277,-0.35461772473889375,-0.28174666446847807,-20.549187247780942,0.7014415357089562,0.7544647930641417
hv117_02,eligibility for female interview,29,3.322046667141723e-7,0.24231337163713115,0.0012186204512190987,-0.21477945309078617,-0.04539963301535669,-78.86220848315202,0.8067193400160195,0.9556155100061217
hv101_08,relationship to head,28,1.9378857467700512e-16,3.202510296243115e-12,0.001115199199920122,-7.716987564172468,-7.636873214728873,-1.0381557411798943,4.451997214787003e-4,4.823342523104163e-4
v780,children should be taught about condoms to avoid aids,26,8.25180398234276e-9,2.774641523413049e-7,0.0011020444220510952,-0.22575305648203028,-0.24780403677819077,9.767743852414117,0.797915117304914,0.7805128801111978
mv384a,on radio heard about family planning in the last few months,20,1.3587873059014822e-8,0.5655613019075003,0.0011010726886856404,-0.26307823902831595,-0.02818523704741748,-89.2863669942751,0.7686817540448949,0.9722082611328736
mv510,completeness of date information in mv509,20,2.850477179971816e-7,3.959648444250716e-4,0.0010975318191350834,0.3123967337629958,0.21969125678716014,-29.675558978848986,1.3666968002506883,1.2456920722375173
v480,"syringe and needle from new, unopened package",19,2.1756556463059897e-21,6.041437362900524e-11,0.0010763444170858606,-9.055621862525946,-9.770845602424556,7.898118436883446,1.1673293226801934e-4,5.709205445278819e-5
v767b,relationship with 2nd to most recent sex partner,10,3.208780974868752e-8,9.175618527628522e-5,0.0010636856597072844,-7.798911225812314,-8.074547031331006,3.5342857167858392,4.10181330792765e-4,3.1136427426596677e-4
v762ba,source for female condoms: government hospital,16,8.961440337717086e-20,2.629016673482226e-4,0.0010514374101098388,-0.325958003585652,-0.14013488964354623,-57.0082991974385,0.7218355012979781,0.8692409758850437
hc13_02,result of measurement - height/weight,10,1.306634812783424e-7,1.7245643454138494e-8,0.0010471056417809448,-7.963989626382613,-9.153318664661898,14.933834598921985,3.477629020349236e-4,1.0586787912193212e-4
hv010,number of eligible women in household,29,1.9023770710784022e-7,4.911466285925678e-12,0.0010322362300733087,-0.10597620604307172,-0.1283328675981534,21.09592557596873,0.8994460492018683,0.8795605532024386
v829,place where last hiv test was taken,13,3.590418259632122e-8,7.2794865909569365e-6,0.0010222496278585124,-7.665586037590776,-8.050007368085533,5.014898125330763,4.6868200950427616e-4,3.1909957131960685e-4
